movieId,movie_n_ratings,movie_avg_rating,bayesian_score
1,49852,3.8960524,3.8956836448786545
2,21196,3.2196405,3.2203663215342746
3,11514,3.1486018,3.1502424553577892
4,2479,2.8652682,2.8783720492751006
5,11121,3.0614154,3.063504073903913
6,22333,3.843326,3.84262183696459
7,11715,3.3652155,3.3659076089814426
8,1292,3.130805,3.145605849082708
9,3578,3.0036333,3.010860743175662
10,26600,3.424154,3.4243489875578748
11,16472,3.6598167,3.659418008876127
12,3549,2.6252465,2.637789076386176
13,1401,3.2922912,3.300415500125583
14,5414,3.4260252,3.426958847621873
15,2643,2.7181234,2.7331612367768114
16,16426,3.8008645,3.800036571852991
17,19004,3.9562197,3.955096128793482
18,4906,3.3715858,3.373164473280395
19,19618,2.6156082,2.6179278491836557
20,3705,2.877328,2.885992785427129
21,21756,3.5785072,3.578391510861014
22,8941,3.3201544,3.32131061221426
23,3872,3.151214,3.156018136047332
24,7233,3.1943867,3.196677484535899
25,19456,3.6834137,3.6830155219980893
26,2500,3.619,3.6172168095906576
27,1492,3.4008043,3.4049305816877986
28,2871,4.039011,4.030264825373633
29,7899,3.9433472,3.940735013938757
30,1151,3.642485,3.6377211432969143
31,8618,3.250348,3.2519500252284046
32,42594,3.9009602,3.900522981561289
33,61,2.9754097,3.2243510259164347
34,29518,3.6288197,3.6286493166152276
35,1336,3.4869013,3.4883860633486794
36,18830,3.928173,3.92711344209768
37,73,2.9657533,3.19433302026454
38,543,2.8232045,2.8826357880088973
39,24172,3.4128537,3.4130915298537507
40,789,3.6400506,3.633376557721853
41,4213,3.8466651,3.8429282713797686
42,2235,3.050783,3.0612266053256114
43,2274,3.4560246,3.457574447543198
44,9830,2.6432858,2.647763350714556
45,8022,3.3836324,3.384527038476394
46,2858,3.2713437,3.2757576640075308
47,42777,4.064988,4.0643612785276115
48,12172,2.9521854,2.9545412833747995
49,214,3.5116823,3.5147839983304343
50,47090,4.313315,4.312482017453161
51,26,2.5769231,3.2026706683008292
52,8378,3.5400453,3.5399741539187946
53,133,3.642857,3.6114915863412325
54,876,2.8555937,2.8919039246330507
55,843,3.2241993,3.2412127380541964
56,64,1.9140625,2.6219558715820312
57,2189,3.3225217,3.327111630740044
58,10354,3.9715085,3.9693773557295575
59,177,3.5536723,3.5480306999273763
60,5733,3.1036978,3.1073668206333807
61,2047,3.320469,3.32541860417633
62,17541,3.7264123,3.7258485054103723
63,2146,3.060345,3.0709941706370785
64,1870,2.8187165,2.837188996374607
65,4465,2.3855543,2.3982066400555415
66,2166,2.141736,2.173015889708316
67,159,3.3144655,3.3655645333979116
68,1107,3.4345076,3.438550468344264
69,3957,3.5596411,3.5592470407664463
70,12264,3.292849,3.293804116347441
71,1175,2.3510637,2.3991043674702546
72,1119,3.484808,3.4866579005206315
73,2659,3.8016171,3.7965680913055633
74,3164,3.296302,3.299907514302717
